Rk,Player,Tm,G,PF,Yds,Ply,Y/P,TO,Int,Sc%,TO%
1,Los Angeles Rams,LAR,16,296,4511,989,4.6,22,14,27.9,12
2,Baltimore Ravens,BAL,16,303,5276,1017,5.2,22,10,30,12.4
3,Pittsburgh Steelers,PIT,16,312,4893,996,4.9,27,18,29.3,13.8
4,Washington Football Team,WAS,16,329,4873,1004,4.9,23,16,31.4,12.2
5,New Orleans Saints,NOR,16,337,4974,992,5,26,18,34.7,13.1
6,Miami Dolphins,MIA,16,338,5886,998,5.9,29,18,30.7,15.6
7,New England Patriots,NWE,16,353,5660,982,5.8,22,18,38.9,14
8,Tampa Bay Buccaneers,TAM,16,355,5234,1023,5.1,25,15,33.7,14
9,New York Giants,NYG,16,357,5589,1046,5.3,22,11,41.5,12.2
10,Indianapolis Colts,IND,16,362,5314,992,5.4,25,15,35.1,14.3
11,Kansas City Chiefs,KAN,16,362,5733,1022,5.6,22,16,36.1,13
12,Arizona Cardinals,ARI,16,367,5631,1054,5.3,21,11,37.2,10.5
13,Green Bay Packers,GNB,16,369,5344,974,5.5,18,11,39.9,11.4
14,Chicago Bears,CHI,16,370,5519,1020,5.4,18,10,38,8.9
15,Seattle Seahawks,SEA,16,371,6089,1112,5.5,22,14,40,12
16,Buffalo Bills,BUF,16,375,5640,1025,5.5,26,15,39.4,15.3
17,San Francisco 49ers,SFO,16,390,5030,997,5,20,12,38.3,10.4
18,Carolina Panthers,CAR,16,402,5761,1022,5.6,22,7,46,12.4
19,Atlanta Falcons,ATL,16,414,6374,1034,6.2,21,12,42,12.1
20,Philadelphia Eagles,PHI,16,418,5810,1060,5.5,19,8,37.8,9.2
21,Cleveland Browns,CLE,16,419,5735,1035,5.5,21,11,43,12.7
22,Cincinnati Bengals,CIN,16,424,6227,1021,6.1,17,11,43.3,9.4
23,Los Angeles Chargers,LAC,16,426,5495,997,5.5,19,12,43.5,10
24,Tennessee Titans,TEN,16,439,6372,1076,5.9,23,15,45.2,13.3
25,Denver Broncos,DEN,16,446,5887,1043,5.6,16,10,44.6,8.2
26,New York Jets,NYJ,16,457,6201,1081,5.7,19,10,44.6,10.7
27,Houston Texans,HOU,16,464,6668,1068,6.2,9,3,47,5.4
28,Dallas Cowboys,DAL,16,473,6183,1054,5.9,23,10,43.1,12.2
29,Minnesota Vikings,MIN,16,475,6292,1036,6.1,22,15,50,10.7
30,Las Vegas Raiders,LVR,16,478,6225,1039,6,15,10,50.3,8.4
31,Jacksonville Jaguars,JAX,16,492,6683,1068,6.3,17,12,47.8,9.2
32,Detroit Lions,DET,16,519,6716,1068,6.3,12,7,47.9,7.1
