Rk,Player,Tm,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
1,Zach Cunningham\CunnZa00,HOU,26,LILB,16,16,0,43,37,86.0%,452,12.2,10.5,2,126.0,4.4,112,340,35,3,1,3.0,7,164,17,9.4%
2,Roquan Smith\SmitRo07,CHI,23,LILB,16,16,2,79,50,63.3%,290,5.8,3.7,0,59.6,2.3,66,224,33,4,3,4.0,11,139,10,6.7%
3,Devin White\WhitDe02,TAM,22,LILB,15,15,0,84,70,83.3%,626,8.9,7.5,3,109.6,4.6,311,315,91,3,8,9.0,20,140,15,9.7%
4,Neville Hewitt\HewiNe00,NYJ,27,RILB,16,16,0,78,55,70.5%,530,9.6,6.8,1,93.4,5.5,261,269,82,1,2,2.0,6,134,16,10.7%
5,Jordan Poyer\PoyeJo00,BUF,29,SS,16,16,2,48,35,72.9%,273,7.8,5.7,3,90.0,5.6,169,104,55,1,2,2.0,5,124,11,8.1%
6,Budda Baker *+\BakeBu00,ARI,24,SS,15,15,2,42,30,71.4%,339,11.3,8.1,5,115.0,7.8,190,149,70,5,1,2.0,8,118,13,9.9%
7,Jaylon Smith\SmitJa05,DAL,25,RLB,16,16,1,59,42,71.2%,438,10.4,7.4,3,102.2,3.9,145,293,45,1,3,1.5,6,154,9,5.5%
8,Malcolm Butler\ButlMa01,TEN,30,RCB,16,16,4,127,80,63.0%,873,10.9,6.9,5,83.2,9.9,647,226,3,0,0,0.0,0,100,10,9.1%
9,Darius Leonard*+\LeonDa00,IND,25,LLB,14,14,0,70,57,81.4%,474,8.3,6.8,3,109.2,4.0,165,309,45,3,0,3.0,8,132,7,5.0%
10,Blake Martinez\MartBl01,NYG,26,LILB,16,16,1,75,59,78.7%,516,8.7,6.9,0,89.8,4.0,264,252,43,1,3,3.0,7,151,10,6.2%
11,Joe Schobert\SchoJo00,JAX,27,MLB,16,16,3,66,49,74.2%,550,11.2,8.3,6,110.0,5.7,201,349,59,2,3,2.5,9,141,14,9.0%
12,Lavonte David\DaviLa00,TAM,30,RILB,16,16,1,92,69,75.0%,417,6.0,4.5,4,93.4,3.1,172,245,65,0,1,1.5,3,117,10,7.9%
13,Bobby Wagner*+\WagnBo00,SEA,30,RILB,16,16,0,81,52,64.2%,488,9.4,6.0,2,88.9,6.8,234,254,100,1,8,3.0,12,138,10,6.8%
